[2021-09-07 10:32:45.650] [main] INFO  com.miniw.fesweb.FesWebApplication : Starting FesWebApplication using Java 1.8.0_221 on luoquandeMacBook-Pro.local with PID 16605 (/Users/blacker/IdeaProjects/mini-festival/fes-web/target/classes started by blacker in /Users/blacker/IdeaProjects/mini-festival)
[2021-09-07 11:32:29.176] [main] INFO  com.miniw.fesweb.FesWebApplication : Started FesWebApplication in 4.749 seconds (JVM running for 5.831)
[2021-09-07 11:34:00.010] [task-4] INFO  com.miniw.fesweb.task.ScheduledTask : time - Tue Sep 07 11:34:00 CST 2021, threadName - task-4正在执行月无双预售发放礼包任务
[2021-09-07 11:34:00.010] [task-3] INFO  com.miniw.fesweb.task.ScheduledTask : time - Tue Sep 07 11:34:00 CST 2021, threadName - task-3正在执行柳仙儿预售发放礼包任务
[2021-09-07 11:36:00.007] [task-11] INFO  com.miniw.fesweb.task.ScheduledTask : time - Tue Sep 07 11:36:00 CST 2021, threadName - task-11正在执行月无双预售发放礼包任务
[2021-09-07 11:36:00.008] [task-12] INFO  com.miniw.fesweb.task.ScheduledTask : time - Tue Sep 07 11:36:00 CST 2021, threadName - task-12正在执行柳仙儿预售发放礼包任务
[2021-09-07 11:37:22.710] [http-nio-5090-exec-2] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] : Initializing Spring DispatcherServlet 'dispatcherServlet'
[2021-09-07 11:38:00.005] [task-18] INFO  com.miniw.fesweb.task.ScheduledTask : time - Tue Sep 07 11:38:00 CST 2021, threadName - task-18正在执行月无双预售发放礼包任务
[2021-09-07 11:38:00.005] [task-17] INFO  com.miniw.fesweb.task.ScheduledTask : time - Tue Sep 07 11:38:00 CST 2021, threadName - task-17正在执行柳仙儿预售发放礼包任务
[2021-09-07 11:40:00.005] [task-23] INFO  com.miniw.fesweb.task.ScheduledTask : time - Tue Sep 07 11:40:00 CST 2021, threadName - task-23正在执行柳仙儿预售发放礼包任务
[2021-09-07 11:40:00.005] [task-24] INFO  com.miniw.fesweb.task.ScheduledTask : time - Tue Sep 07 11:40:00 CST 2021, threadName - task-24正在执行月无双预售发放礼包任务
[2021-09-07 11:42:00.005] [task-29] INFO  com.miniw.fesweb.task.ScheduledTask : time - Tue Sep 07 11:42:00 CST 2021, threadName - task-29正在执行柳仙儿预售发放礼包任务
[2021-09-07 11:42:00.006] [task-30] INFO  com.miniw.fesweb.task.ScheduledTask : time - Tue Sep 07 11:42:00 CST 2021, threadName - task-30正在执行月无双预售发放礼包任务
[2021-09-07 11:44:00.004] [task-35] INFO  com.miniw.fesweb.task.ScheduledTask : time - Tue Sep 07 11:44:00 CST 2021, threadName - task-35正在执行月无双预售发放礼包任务
